PB0,PB1,PB2,PB3,GB0,GB1,GB2,GB3,CIN,CINB,PB_OUT,GB_OUT,CNX_OUT,CNY_OUT,CNZ_OUT,total_leakage
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,6964.842335143004
0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,6888.7945788649
0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,6915.873062153239
0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,7001.506099451609
0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,7028.584582739947
0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,6766.792900438446
0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,6764.821801499704
0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,6723.838803874298
0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,6721.867704935556
0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,6910.732503548065
0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,6977.905056778005
0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,7023.444024134774
0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,7090.6165773647135
0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,6696.13159650119
0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,6734.254567504048
0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,6653.17749993704
0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,6691.300470939898
0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,6865.971917234716
0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,7021.322762825913
0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,6978.683437821424
0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,7134.034283412621
0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,6727.897504847624
0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,6870.271502172377
0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,6668.870674322838
0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,6811.2446716475915
0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,7199.61844040335
0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,7281.168661828027
0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,7204.386659717459
0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,7285.936881142136
0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,6985.017533356476
0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,7037.5181725540715
0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,7044.257490806925
0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,7096.758130004519
0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,6918.516319711819
0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,6945.594803000157
0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,6923.284539025928
0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,6950.363022314266
