V(drain1) V(gate1) V(source1) V(body1) I(Vnet) I(Vg1) I(Vs1) I(Vb1) V(drain2) V(gate2) V(source2) V(body2) I(Vd2) I(Vg2) I(Vnet) I(Vb2)
0.0793833 0 0.05 1.1 -5.39743E-09 1.27725E-11 5.38473E-09 -6.97428E-14 0 1.1 0.0793833 1.1 6.91543E-09 -1.23058E-08 -5.39743E-09 -7.08018E-12
0.110072 0 0.1 1.1 -4.89277E-09 1.23732E-11 4.88047E-09 -7.04124E-14 0 1.1 0.110072 1.1 6.91543E-09 -1.18011E-08 -4.89277E-09 -7.07525E-12
0.15287 0 0.15 1.1 -4.25481E-09 7.32744E-12 4.24756E-09 -7.27439E-14 0 1.1 0.15287 1.1 6.91543E-09 -1.11632E-08 -4.25481E-09 -7.07521E-12
0.200831 0 0.2 1.1 -3.6229E-09 3.47104E-11 3.58827E-09 -7.98493E-14 0 1.1 0.200831 1.1 6.91543E-09 -1.05313E-08 -3.6229E-09 -7.07521E-12
0.250277 0 0.25 1.1 -3.05383E-09 1.25472E-10 2.92846E-09 -9.87023E-14 0 1.1 0.250277 1.1 6.91543E-09 -9.96218E-09 -3.05383E-09 -7.07519E-12
0.30011 0 0.3 1.1 -2.5557E-09 3.10905E-10 2.24494E-09 -1.436E-13 0 1.1 0.30011 1.1 6.91543E-09 -9.46406E-09 -2.5557E-09 -7.07519E-12
0.35005 0 0.35 1.1 -2.12394E-09 6.00786E-10 1.5234E-09 -2.44155E-13 0 1.1 0.35005 1.1 6.91543E-09 -9.0323E-09 -2.12394E-09 -7.07521E-12
0.400024 0 0.4 1.1 -1.75179E-09 1.00381E-09 7.48444E-10 -4.61638E-13 0 1.1 0.400024 1.1 6.91543E-09 -8.66014E-09 -1.75179E-09 -7.07521E-12
0.45001 0 0.45 1.1 -1.43258E-09 1.53646E-09 -1.02954E-10 -9.2127E-13 0 1.1 0.45001 1.1 6.91543E-09 -8.34094E-09 -1.43258E-09 -7.07521E-12
0.500001 0 0.5 1.1 -1.16016E-09 2.21903E-09 -1.05699E-09 -1.87677E-12 0 1.1 0.500001 1.1 6.91543E-09 -8.06852E-09 -1.16016E-09 -7.07522E-12
0.549993 0 0.55 1.1 -9.28995E-10 3.07476E-09 -2.14193E-09 -3.84207E-12 0 1.1 0.549993 1.1 6.91543E-09 -7.83735E-09 -9.28995E-10 -7.07519E-12
0.599986 0 0.6 1.1 -7.34085E-10 4.13011E-09 -3.38817E-09 -7.85665E-12 0 1.1 0.599986 1.1 6.91545E-09 -7.64246E-09 -7.34085E-10 -7.07519E-12
0.64998 0 0.65 1.1 -5.70928E-10 5.41548E-09 -4.82854E-09 -1.6017E-11 0 1.1 0.64998 1.1 6.91551E-09 -7.47936E-09 -5.70928E-10 -7.07519E-12
0.699973 0 0.7 1.1 -4.35332E-10 6.96899E-09 -6.50108E-09 -3.25768E-11 0 1.1 0.699973 1.1 6.91584E-09 -7.34409E-09 -4.35332E-10 -7.07519E-12
0.749965 0 0.75 1.1 -3.22756E-10 8.83417E-09 -8.44539E-09 -6.60274E-11 0 1.1 0.749965 1.1 6.9174E-09 -7.23308E-09 -3.22756E-10 -7.07519E-12
0.799957 0 0.8 1.1 -2.2536E-10 1.10693E-08 -1.07106E-08 -1.33315E-10 0 1.1 0.799957 1.1 6.92486E-09 -7.14315E-09 -2.2536E-10 -7.07521E-12
0.849947 0 0.85 1.1 -1.18414E-10 1.37533E-08 -1.33671E-08 -2.67737E-10 0 1.1 0.849947 1.1 6.96013E-09 -7.07147E-09 -1.18414E-10 -7.07522E-12
0.899935 0 0.9 1.1 1.01602E-10 1.7001E-08 -1.65693E-08 -5.33331E-10 0 1.1 0.899935 1.1 7.12422E-09 -7.01554E-09 1.01602E-10 -7.07522E-12
0.949917 0 0.95 1.1 8.8952E-10 2.09883E-08 -2.08287E-08 -1.04907E-09 0 1.1 0.949917 1.1 7.86973E-09 -6.97313E-09 8.8952E-10 -7.07526E-12
0.999878 0 1 1.1 4.18101E-09 2.59876E-08 -2.8144E-08 -2.02459E-09 0 1.1 0.999878 1.1 1.11304E-08 -6.94228E-09 4.18101E-09 -7.07623E-12
1.04976 0 1.05 1.1 1.76117E-08 3.24109E-08 -4.62204E-08 -3.80219E-09 0 1.1 1.04976 1.1 2.454E-08 -6.92123E-09 1.76117E-08 -7.08276E-12
1.09937 0 1.1 1.1 6.78706E-08 4.0841E-08 -1.01823E-07 -6.88859E-09 0 1.1 1.09937 1.1 7.47863E-08 -6.90847E-09 6.78706E-08 -7.16198E-12
1.09937 0 1.1 1.1 6.78706E-08 4.0841E-08 -1.01823E-07 -6.88859E-09 0 1.1 1.09937 1.1 7.47863E-08 -6.90847E-09 6.78706E-08 -7.16198E-12
