V(drain1) V(gate1) V(source1) V(body1) I(Vnet) I(Vg1) I(Vs1) I(Vb1) V(drain2) V(gate2) V(source2) V(body2) I(Vd2) I(Vg2) I(Vnet) I(Vb2)
0.03243 0 0.05 1.1 1.59591E-09 1.0542E-11 -1.60638E-09 -6.94271E-14 0 0 0.03243 1.1 1.59136E-09 4.61735E-12 1.59591E-09 -6.933E-14
0.0753188 0 0.1 1.1 8.15603E-09 1.32326E-11 -8.1692E-09 -7.01522E-14 0 0 0.0753188 1.1 8.14925E-09 6.85028E-12 8.15603E-09 -6.97428E-14
0.121492 0 0.15 1.1 3.21464E-08 9.89194E-12 -3.21562E-08 -7.26363E-14 0 0 0.121492 1.1 3.21406E-08 5.79172E-12 3.21464E-08 -7.11792E-14
0.167303 0 0.2 1.1 1.10637E-07 2.78659E-11 -1.10665E-07 -8.0165E-14 0 0 0.167303 1.1 1.1063E-07 7.59751E-12 1.10637E-07 -7.57415E-14
0.211465 0 0.25 1.1 3.29758E-07 1.11445E-10 -3.29869E-07 -1.00066E-13 0 0 0.211465 1.1 3.29721E-07 3.65378E-11 3.29758E-07 -8.75203E-14
0.252995 0 0.3 1.1 8.29547E-07 2.85221E-10 -8.29832E-07 -1.47743E-13 0 0 0.252995 1.1 8.29441E-07 1.06177E-10 8.29547E-07 -1.13069E-13
0.291538 0 0.35 1.1 1.73703E-06 5.55166E-10 -1.73759E-06 -2.55792E-13 0 0 0.291538 1.1 1.73681E-06 2.23507E-10 1.73703E-06 -1.61565E-13
0.327467 0 0.4 1.1 3.08335E-06 9.26171E-10 -3.08427E-06 -4.92877E-13 0 0 0.327467 1.1 3.08297E-06 3.80466E-10 3.08335E-06 -2.46306E-13
0.361447 0 0.45 1.1 4.81107E-06 1.41044E-09 -4.81248E-06 -1.00178E-12 0 0 0.361447 1.1 4.8105E-06 5.71101E-10 4.81107E-06 -3.88009E-13
0.394093 0 0.5 1.1 6.83262E-06 2.02351E-09 -6.83464E-06 -2.07725E-12 0 0 0.394093 1.1 6.83182E-06 7.94672E-10 6.83262E-06 -6.19491E-13
0.425861 0 0.55 1.1 9.06797E-06 2.78321E-09 -9.07075E-06 -4.3266E-12 0 0 0.425861 1.1 9.06692E-06 1.05299E-09 9.06797E-06 -9.92574E-13
0.457043 0 0.6 1.1 1.14548E-05 3.71005E-09 -1.14585E-05 -9.00147E-12 0 0 0.457043 1.1 1.14535E-05 1.34877E-09 1.14548E-05 -1.58868E-12
0.48781 0 0.65 1.1 1.39472E-05 4.82819E-09 -1.3952E-05 -1.86783E-11 0 0 0.48781 1.1 1.39455E-05 1.68496E-09 1.39472E-05 -2.53483E-12
0.518257 0 0.7 1.1 1.65111E-05 6.16693E-09 -1.65172E-05 -3.86451E-11 0 0 0.518257 1.1 1.6509E-05 2.0645E-09 1.65111E-05 -4.02791E-12
0.54843 0 0.75 1.1 1.91215E-05 7.76371E-09 -1.91292E-05 -7.96978E-11 0 0 0.54843 1.1 1.91191E-05 2.49041E-09 1.91215E-05 -6.37173E-12
0.57835 0 0.8 1.1 2.17598E-05 9.66981E-09 -2.17693E-05 -1.63673E-10 0 0 0.57835 1.1 2.17568E-05 2.96579E-09 2.17598E-05 -1.00331E-11
0.608029 0 0.85 1.1 2.44115E-05 1.19612E-08 -2.44232E-05 -3.34044E-10 0 0 0.608029 1.1 2.44081E-05 3.49398E-09 2.44115E-05 -1.57254E-11
0.637472 0 0.9 1.1 2.70658E-05 1.47579E-08 -2.70799E-05 -6.75132E-10 0 0 0.637472 1.1 2.70618E-05 4.07875E-09 2.70658E-05 -2.45346E-11
0.666685 0 0.95 1.1 2.97142E-05 1.8256E-08 -2.97311E-05 -1.34376E-09 0 0 0.666685 1.1 2.97095E-05 4.7245E-09 2.97142E-05 -3.81046E-11
0.695671 0 1 1.1 3.23502E-05 2.27726E-08 -3.23703E-05 -2.61351E-09 0 0 0.695671 1.1 3.23448E-05 5.43661E-09 3.23502E-05 -5.89108E-11
0.724439 0 1.05 1.1 3.49687E-05 2.87913E-08 -3.49925E-05 -4.92063E-09 0 0 0.724439 1.1 3.49625E-05 6.22178E-09 3.49687E-05 -9.06584E-11
0.752997 0 1.1 1.1 3.75659E-05 3.69859E-08 -3.7594E-05 -8.8867E-09 0 0 0.752997 1.1 3.75589E-05 7.08871E-09 3.75659E-05 -1.38854E-10
0.752997 0 1.1 1.1 3.75659E-05 3.69859E-08 -3.7594E-05 -8.8867E-09 0 0 0.752997 1.1 3.75589E-05 7.08871E-09 3.75659E-05 -1.38854E-10
