V(drain1) V(gate1) V(source1) V(body1) I(Vnet) I(Vg1) I(Vs1) I(Vb1) V(drain2) V(gate2) V(source2) V(body2) I(Vd2) I(Vg2) I(Vnet) I(Vb2)
0.884353 1.1 0.05 1.1 6.31375E-12 -6.04362E-09 6.03743E-09 -1.24397E-13 0 1.1 0.884353 1.1 7.04482E-09 -7.03143E-09 6.31375E-12 -7.07521E-12
0.885559 1.1 0.1 1.1 1.24781E-11 -5.17567E-09 5.16319E-09 -9.71445E-16 0 1.1 0.885559 1.1 7.0497E-09 -7.03015E-09 1.24781E-11 -7.07522E-12
0.886699 1.1 0.15 1.1 1.84741E-11 -4.41592E-09 4.39745E-09 -6.73073E-16 0 1.1 0.886699 1.1 7.0545E-09 -7.02895E-09 1.84741E-11 -7.07522E-12
0.887776 1.1 0.2 1.1 2.42846E-11 -3.75263E-09 3.72835E-09 -6.73073E-16 0 1.1 0.887776 1.1 7.05918E-09 -7.02782E-09 2.42846E-11 -7.07522E-12
0.888791 1.1 0.25 1.1 2.98943E-11 -3.17522E-09 3.14532E-09 -6.73073E-16 0 1.1 0.888791 1.1 7.06374E-09 -7.02676E-09 2.98943E-11 -7.07522E-12
0.889744 1.1 0.3 1.1 3.52903E-11 -2.67415E-09 2.63886E-09 -6.73073E-16 0 1.1 0.889744 1.1 7.06814E-09 -7.02578E-09 3.52903E-11 -7.07522E-12
0.890638 1.1 0.35 1.1 4.04622E-11 -2.24085E-09 2.20039E-09 -6.66134E-16 0 1.1 0.890638 1.1 7.0724E-09 -7.02486E-09 4.04622E-11 -7.07522E-12
0.891474 1.1 0.4 1.1 4.54024E-11 -1.86761E-09 1.82221E-09 -6.76542E-16 0 1.1 0.891474 1.1 7.07648E-09 -7.024E-09 4.54024E-11 -7.07521E-12
0.892254 1.1 0.45 1.1 5.01063E-11 -1.54749E-09 1.49738E-09 -6.76542E-16 0 1.1 0.892254 1.1 7.08039E-09 -7.0232E-09 5.01063E-11 -7.07521E-12
0.892982 1.1 0.5 1.1 5.45724E-11 -1.27428E-09 1.21971E-09 -6.76542E-16 0 1.1 0.892982 1.1 7.08411E-09 -7.02246E-09 5.45724E-11 -7.07522E-12
0.893659 1.1 0.55 1.1 5.8803E-11 -1.04239E-09 9.83591E-10 -6.76542E-16 0 1.1 0.893659 1.1 7.08766E-09 -7.02178E-09 5.8803E-11 -7.07522E-12
0.894289 1.1 0.6 1.1 6.28052E-11 -8.46841E-10 7.84037E-10 -6.76542E-16 0 1.1 0.894289 1.1 7.09102E-09 -7.02114E-09 6.28052E-11 -7.07521E-12
0.894877 1.1 0.65 1.1 6.65935E-11 -6.83148E-10 6.16555E-10 -6.76542E-16 0 1.1 0.894877 1.1 7.09422E-09 -7.02055E-09 6.65935E-11 -7.07521E-12
0.895429 1.1 0.7 1.1 7.01985E-11 -5.47317E-10 4.77119E-10 -6.76542E-16 0 1.1 0.895429 1.1 7.09727E-09 -7.02E-09 7.01985E-11 -7.07521E-12
0.895957 1.1 0.75 1.1 7.37001E-11 -4.35772E-10 3.62071E-10 -6.76542E-16 0 1.1 0.895957 1.1 7.10025E-09 -7.01947E-09 7.37001E-11 -7.07521E-12
0.896513 1.1 0.8 1.1 7.74285E-11 -3.45285E-10 2.67857E-10 -6.73073E-16 0 1.1 0.896513 1.1 7.10342E-09 -7.01892E-09 7.74285E-11 -7.07521E-12
0.897463 1.1 0.85 1.1 8.39331E-11 -2.72667E-10 1.88735E-10 -6.8695E-16 0 1.1 0.897463 1.1 7.10898E-09 -7.01797E-09 8.39331E-11 -7.07521E-12
0.900541 1.1 0.9 1.1 1.06105E-10 -2.13721E-10 1.07617E-10 -6.83481E-16 0 1.1 0.900541 1.1 7.12813E-09 -7.01495E-09 1.06105E-10 -7.07522E-12
0.911399 1.1 0.95 1.1 2.00185E-10 -1.6106E-10 -3.91243E-11 -6.80012E-16 0 1.1 0.911399 1.1 7.21196E-09 -7.0047E-09 2.00185E-10 -7.07521E-12
0.939197 1.1 1 1.1 6.17629E-10 -1.06697E-10 -5.10931E-10 -6.80012E-16 0 1.1 0.939197 1.1 7.6059E-09 -6.98119E-09 6.17629E-10 -7.07522E-12
0.98077 1.1 1.05 1.1 2.35579E-09 -5.72786E-11 -2.29851E-09 -6.00214E-16 0 1.1 0.98077 1.1 9.3157E-09 -6.95283E-09 2.35579E-09 -7.07568E-12
1.02664 1.1 1.1 1.1 9.13236E-09 -2.15188E-11 -9.11084E-09 -3.08781E-16 0 1.1 1.02664 1.1 1.60693E-08 -6.92988E-09 9.13236E-09 -7.07805E-12
1.02664 1.1 1.1 1.1 9.13236E-09 -2.15188E-11 -9.11084E-09 -3.08781E-16 0 1.1 1.02664 1.1 1.60693E-08 -6.92988E-09 9.13236E-09 -7.07805E-12
