V(drain1) V(gate1) V(net1) V(body1) I(Vd) I(Vg1) I(Vd2) I(Vb1) V(net2) V(gate2) V(net2) V(body2) I(Vd2) I(Vg2) I(Vs2) I(Vb2)
0.05 1.1 0.0500226 0 2.52399E-08 -3.25901E-08 6.1683E-09 1.18182E-09 0.0500226 0 0 0 6.1683E-09 1.16816E-11 6.15662E-09 1.75074E-16
0.1 1.1 0.100011 0 1.73983E-08 -2.59439E-08 7.94862E-09 5.96955E-10 0.100011 0 0 0 7.94862E-09 3.17966E-11 7.91683E-09 2.11769E-16
0.15 1.1 0.150002 0 1.1157E-08 -2.05957E-08 9.14077E-09 2.97926E-10 0.150002 0 0 0 9.14077E-09 6.25549E-11 9.07822E-09 2.21772E-16
0.2 1.1 0.199994 0 5.76331E-09 -1.62594E-08 1.03485E-08 1.47558E-10 0.199994 0 0 0 1.03485E-08 1.0658E-10 1.02419E-08 2.27125E-16
0.25 1.1 0.249986 0 9.94589E-10 -1.27313E-08 1.1664E-08 7.26995E-11 0.249986 0 0 0 1.1664E-08 1.66987E-10 1.1497E-08 2.32292E-16
0.3 1.1 0.299978 0 -3.29654E-09 -9.86208E-09 1.31229E-08 3.5679E-11 0.299978 0 0 0 1.31229E-08 2.47461E-10 1.28755E-08 2.38269E-16
0.35 1.1 0.34997 0 -7.23199E-09 -7.53679E-09 1.47513E-08 1.74536E-11 0.34997 0 0 0 1.47513E-08 3.52345E-10 1.4399E-08 2.45382E-16
0.4 1.1 0.39996 0 -1.09187E-08 -5.66353E-09 1.65738E-08 8.51409E-12 0.39996 0 0 0 1.65738E-08 4.86752E-10 1.6087E-08 2.5385E-16
0.45 1.1 0.449949 0 -1.4453E-08 -4.16714E-09 1.8616E-08 4.14598E-12 0.449949 0 0 0 1.8616E-08 6.56677E-10 1.79593E-08 2.63886E-16
0.5 1.1 0.499933 0 -1.79227E-08 -2.98515E-09 2.09059E-08 2.0222E-12 0.499933 0 0 0 2.09059E-08 8.69131E-10 2.00367E-08 2.75733E-16
0.55 1.1 0.549912 0 -2.14101E-08 -2.06508E-09 2.34742E-08 9.96904E-13 0.549912 0 0 0 2.34742E-08 1.13229E-09 2.23419E-08 2.89659E-16
0.6 1.1 0.599877 0 -2.4993E-08 -1.36223E-09 2.63547E-08 5.06773E-13 0.599877 0 0 0 2.63547E-08 1.45565E-09 2.48991E-08 3.05972E-16
0.65 1.1 0.649811 0 -2.8746E-08 -8.3846E-10 2.95841E-08 2.75398E-13 0.649811 0 0 0 2.95841E-08 1.85013E-09 2.7734E-08 3.25012E-16
0.7 1.1 0.699665 0 -3.27364E-08 -4.64218E-10 3.32005E-08 1.67878E-13 0.699665 0 0 0 3.32005E-08 2.32797E-09 3.08725E-08 3.47144E-16
0.75 1.1 0.749285 0 -3.70111E-08 -2.24647E-10 3.72356E-08 1.19147E-13 0.749285 0 0 0 3.72356E-08 2.90165E-09 3.4334E-08 3.72711E-16
0.8 1.1 0.798145 0 -4.15827E-08 -1.01696E-10 4.16843E-08 9.81479E-14 0.798145 0 0 0 4.16843E-08 3.57872E-09 3.81056E-08 4.01816E-16
0.85 1.1 0.844484 0 -4.63442E-08 -4.54077E-11 4.63895E-08 8.98901E-14 0.844484 0 0 0 4.63895E-08 4.34073E-09 4.20487E-08 4.33505E-16
0.9 1.1 0.883557 0 -5.0746E-08 -1.76059E-11 5.07635E-08 8.70277E-14 0.883557 0 0 0 5.07635E-08 5.08762E-09 4.56759E-08 4.63693E-16
0.95 1.1 0.908449 0 -5.37537E-08 -7.0135E-12 5.37606E-08 8.61768E-14 0.908449 0 0 0 5.37606E-08 5.61922E-09 4.81414E-08 4.84741E-16
1 1.1 0.918846 0 -5.50552E-08 -8.62954E-12 5.50637E-08 8.59981E-14 0.918846 0 0 0 5.50637E-08 5.85511E-09 4.92086E-08 4.93977E-16
1.05 1.1 0.924066 0 -5.57221E-08 -7.82086E-12 5.57298E-08 8.59739E-14 0.924066 0 0 0 5.57298E-08 5.97677E-09 4.9753E-08 4.98717E-16
1.1 1.1 0.928357 0 -5.62812E-08 -2.19291E-12 5.62833E-08 8.59751E-14 0.928357 0 0 0 5.62833E-08 6.07842E-09 5.02049E-08 5.02666E-16
1.1 1.1 0.928357 0 -5.62812E-08 -2.19291E-12 5.62833E-08 8.59751E-14 0.928357 0 0 0 5.62833E-08 6.07842E-09 5.02049E-08 5.02666E-16
