V(drain1) V(gate1) V(net1) V(body1) I(Vd) I(Vg1) I(Vd2) I(Vb1) V(net2) V(gate2) V(net2) V(body2) I(Vd2) I(Vg2) I(Vs2) I(Vb2)
0.05 0 0.0175088 0 -3.07469E-09 1.49247E-11 3.05977E-09 2.68366E-16 0.0175088 0 0 0 3.05977E-09 3.25009E-12 3.05651E-09 9.41043E-17
0.1 0 0.0237966 0 -3.93146E-09 3.64191E-11 3.89504E-09 3.26248E-16 0.0237966 0 0 0 3.89504E-09 4.62816E-12 3.89041E-09 1.16911E-16
0.15 0 0.0266082 0 -4.2949E-09 6.78352E-11 4.22706E-09 3.43011E-16 0.0266082 0 0 0 4.22706E-09 5.28206E-12 4.22178E-09 1.25711E-16
0.2 0 0.0289744 0 -4.60007E-09 1.12437E-10 4.48764E-09 3.52556E-16 0.0289744 0 0 0 4.48764E-09 5.85073E-12 4.48179E-09 1.32527E-16
0.25 0 0.0313152 0 -4.9026E-09 1.73437E-10 4.72917E-09 3.60617E-16 0.0313152 0 0 0 4.72917E-09 6.43007E-12 4.72274E-09 1.3878E-16
0.3 0 0.033711 0 -5.21488E-09 2.54541E-10 4.96034E-09 3.68282E-16 0.033711 0 0 0 4.96034E-09 7.04046E-12 4.95329E-09 1.44715E-16
0.35 0 0.0361855 0 -5.543E-09 3.60107E-10 5.1829E-09 3.75766E-16 0.0361855 0 0 0 5.1829E-09 7.68963E-12 5.17521E-09 1.50386E-16
0.4 0 0.0387468 0 -5.89215E-09 4.95255E-10 5.3969E-09 3.83102E-16 0.0387468 0 0 0 5.3969E-09 8.38188E-12 5.38852E-09 1.55806E-16
0.45 0 0.041397 0 -6.26792E-09 6.65992E-10 5.60193E-09 3.9028E-16 0.041397 0 0 0 5.60193E-09 9.12019E-12 5.59281E-09 1.60969E-16
0.5 0 0.0441353 0 -6.67685E-09 8.79352E-10 5.7975E-09 3.97286E-16 0.0441353 0 0 0 5.7975E-09 9.90685E-12 5.78759E-09 1.65867E-16
0.55 0 0.0469587 0 -7.12682E-09 1.14355E-09 5.98327E-09 4.041E-16 0.0469587 0 0 0 5.98327E-09 1.07437E-11 5.97252E-09 1.70495E-16
0.6 0 0.0498629 0 -7.62722E-09 1.46817E-09 6.15906E-09 4.10708E-16 0.0498629 0 0 0 6.15906E-09 1.1632E-11 6.14742E-09 1.74846E-16
0.65 0 0.0528426 0 -8.18928E-09 1.86435E-09 6.32492E-09 4.17097E-16 0.0528426 0 0 0 6.32492E-09 1.25729E-11 6.31235E-09 1.78918E-16
0.7 0 0.0558916 0 -8.82621E-09 2.34506E-09 6.48115E-09 4.23262E-16 0.0558916 0 0 0 6.48115E-09 1.3567E-11 6.46758E-09 1.82712E-16
0.75 0 0.0590036 0 -9.55351E-09 2.92533E-09 6.62818E-09 4.29199E-16 0.0590036 0 0 0 6.62818E-09 1.46149E-11 6.61357E-09 1.86232E-16
0.8 0 0.0621717 0 -1.03892E-08 3.62257E-09 6.76665E-09 4.34911E-16 0.0621717 0 0 0 6.76665E-09 1.57166E-11 6.75093E-09 1.89486E-16
0.85 0 0.0653896 0 -1.13542E-08 4.45693E-09 6.89725E-09 4.40403E-16 0.0653896 0 0 0 6.89725E-09 1.68722E-11 6.88038E-09 1.92483E-16
0.9 0 0.0686508 0 -1.24725E-08 5.4517E-09 7.02076E-09 4.45686E-16 0.0686508 0 0 0 7.02076E-09 1.80816E-11 7.00268E-09 1.95237E-16
0.95 0 0.0719496 0 -1.37717E-08 6.63373E-09 7.13795E-09 4.5081E-16 0.0719496 0 0 0 7.13795E-09 1.93448E-11 7.1186E-09 1.97761E-16
1 0 0.0752806 0 -1.52836E-08 8.03399E-09 7.24957E-09 1.10539E-15 0.0752806 0 0 0 7.24957E-09 2.06614E-11 7.22891E-09 2.0007E-16
1.05 0 0.0786391 0 -1.70447E-08 9.68814E-09 7.35634E-09 2.36132E-13 0.0786391 0 0 0 7.35634E-09 2.20316E-11 7.33431E-09 2.02179E-16
1.1 0 0.0820209 0 -1.91085E-08 1.16372E-08 7.45892E-09 1.23849E-11 0.0820209 0 0 0 7.45892E-09 2.34551E-11 7.43546E-09 2.04105E-16
1.1 0 0.0820209 0 -1.91085E-08 1.16372E-08 7.45892E-09 1.23849E-11 0.0820209 0 0 0 7.45892E-09 2.34551E-11 7.43546E-09 2.04105E-16
