V(drain1) V(gate1) V(net1) V(body1) I(Vd) I(Vg1) I(Vd2) I(Vb1) V(net2) V(gate2) V(net2) V(body2) I(Vd2) I(Vg2) I(Vs2) I(Vb2)
0.05 1.1 0.0249667 0 -1.04441E-05 -3.60299E-08 1.04784E-05 1.69635E-09 0.0249667 1.1 0 0 1.04784E-05 -4.04187E-08 1.05165E-05 2.3563E-09
0.1 1.1 0.0496816 0 -2.04906E-05 -3.16384E-08 2.05209E-05 1.25126E-09 0.0496816 1.1 0 0 2.05209E-05 -3.98072E-08 2.05583E-05 2.41596E-09
0.15 1.1 0.0740987 0 -3.00777E-05 -2.78261E-08 3.01046E-05 9.23482E-10 0.0740987 1.1 0 0 3.01046E-05 -3.92576E-08 3.01413E-05 2.47629E-09
0.2 1.1 0.098107 0 -3.91796E-05 -2.45123E-08 3.92034E-05 6.83605E-10 0.098107 1.1 0 0 3.92034E-05 -3.87584E-08 3.92397E-05 2.53697E-09
0.25 1.1 0.121573 0 -4.77676E-05 -2.1634E-08 4.77887E-05 5.08911E-10 0.121573 1.1 0 0 4.77887E-05 -3.83044E-08 4.78244E-05 2.59761E-09
0.3 1.1 0.144334 0 -5.58092E-05 -1.91402E-08 5.5828E-05 3.82156E-10 0.144334 1.1 0 0 5.5828E-05 -3.78928E-08 5.58632E-05 2.65772E-09
0.35 1.1 0.166199 0 -6.32682E-05 -1.69889E-08 6.32849E-05 2.90455E-10 0.166199 1.1 0 0 6.32849E-05 -3.75224E-08 6.33197E-05 2.71667E-09
0.4 1.1 0.186935 0 -7.01034E-05 -1.51452E-08 7.01183E-05 2.24311E-10 0.186935 1.1 0 0 7.01183E-05 -3.71922E-08 7.01527E-05 2.7737E-09
0.45 1.1 0.206267 0 -7.62676E-05 -1.35811E-08 7.6281E-05 1.76815E-10 0.206267 1.1 0 0 7.6281E-05 -3.69019E-08 7.63151E-05 2.82786E-09
0.5 1.1 0.223864 0 -8.17048E-05 -1.2275E-08 8.17169E-05 1.43019E-10 0.223864 1.1 0 0 8.17169E-05 -3.66517E-08 8.17507E-05 2.87801E-09
0.55 1.1 0.239329 0 -8.63469E-05 -1.12127E-08 8.6358E-05 1.19456E-10 0.239329 1.1 0 0 8.6358E-05 -3.64425E-08 8.63915E-05 2.92276E-09
0.6 1.1 0.25222 0 -9.0119E-05 -1.03867E-08 9.01293E-05 1.0375E-10 0.25222 1.1 0 0 9.01293E-05 -3.62755E-08 9.01626E-05 2.96056E-09
0.65 1.1 0.262241 0 -9.29901E-05 -9.78632E-09 9.29998E-05 9.41404E-11 0.262241 1.1 0 0 9.29998E-05 -3.61503E-08 9.30329E-05 2.99025E-09
0.7 1.1 0.269635 0 -9.50746E-05 -9.37598E-09 9.50839E-05 8.89185E-11 0.269635 1.1 0 0 9.50839E-05 -3.60603E-08 9.51169E-05 3.01233E-09
0.75 1.1 0.27518 0 -9.66186E-05 -9.09648E-09 9.66276E-05 8.63976E-11 0.27518 1.1 0 0 9.66276E-05 -3.59942E-08 9.66606E-05 3.02899E-09
0.8 1.1 0.279634 0 -9.78469E-05 -8.89578E-09 9.78558E-05 8.53625E-11 0.279634 1.1 0 0 9.78558E-05 -3.5942E-08 9.78887E-05 3.04244E-09
0.85 1.1 0.283472 0 -9.8897E-05 -8.74186E-09 9.89056E-05 8.51389E-11 0.283472 1.1 0 0 9.89056E-05 -3.58976E-08 9.89385E-05 3.05406E-09
0.9 1.1 0.28695 0 -9.9842E-05 -8.61711E-09 9.98506E-05 8.53839E-11 0.28695 1.1 0 0 9.98506E-05 -3.58578E-08 9.98834E-05 3.06464E-09
0.95 1.1 0.290209 0 -0.000100721 -8.5141E-09 0.00010073 8.59195E-11 0.290209 1.1 0 0 0.00010073 -3.5821E-08 0.000100762 3.07457E-09
1 1.1 0.293324 0 -0.000101557 -8.42797E-09 0.000101565 8.66476E-11 0.293324 1.1 0 0 0.000101565 -3.57861E-08 0.000101598 3.0841E-09
1.05 1.1 0.296342 0 -0.000102361 -8.34426E-09 0.000102369 8.75111E-11 0.296342 1.1 0 0 0.000102369 -3.57527E-08 0.000102402 3.09336E-09
1.1 1.1 0.299293 0 -0.000103143 -8.25968E-09 0.000103151 8.84744E-11 0.299293 1.1 0 0 0.000103151 -3.57203E-08 0.000103184 3.10243E-09
1.1 1.1 0.299293 0 -0.000103143 -8.25968E-09 0.000103151 8.84744E-11 0.299293 1.1 0 0 0.000103151 -3.57203E-08 0.000103184 3.10243E-09
